tem,ttem,num,out,gf,gs,gt,gfor
37.35,37,0,5,21.49,21.73,22.55,22.56
36.91,37.6,1,4,21.49,21.66,22.55,22.56
37.94,37.6,2,4,21.3,21.66,22.59,22.56
37.65,37.6,3,4,21.3,21.66,22.59,22.53
37.21,37.6,4,4,21.3,21.63,22.59,22.53
37.5,37.6,5,4,21.33,21.63,22.59,22.53
38.51,37.6,6,4,21.33,21.63,22.59,22.49
36.91,37,7,5,21.33,21.72,22.59,22.49
37.21,37,8,5,21.24,21.72,22.62,22.49
37.06,37,9,5,21.24,21.72,22.62,22.49
36.96,37.6,10,4,21.24,21.65,22.62,22.49
37.94,37.6,11,4,21.24,21.65,22.62,22.49
37.79,37.6,12,4,21.24,21.65,22.62,22.48
37.79,38.2,13,3,21.24,21.65,22.62,22.48
38.09,38.2,14,3,21.31,21.65,22.69,22.48
38.09,38.2,15,3,21.31,21.65,22.69,22.49
38.24,38.2,16,3,21.31,21.66,22.69,22.49
38.38,38.2,17,3,21.41,21.66,22.65,22.49
38.38,38.2,18,3,21.41,21.66,22.65,22.49
38.38,38.2,19,3,21.41,21.63,22.65,22.49
38.38,38.2,20,3,21.44,21.63,22.67,22.49
38.38,38.2,21,3,21.44,21.63,22.67,22.48
38.24,38.2,22,3,21.44,21.63,22.67,22.48
38.23,38.2,23,3,21.44,21.63,22.72,22.48
38.53,39.2,24,3,21.44,21.63,22.72,22.46
38.53,39.2,25,3,21.44,21.61,22.72,22.46
38.53,39.2,26,3,21.44,21.61,22.74,22.46
38.53,40.2,27,3,21.44,21.61,22.74,22.46
38.53,40.2,28,3,21.44,21.63,22.74,22.46
38.55,40.2,29,3,21.41,21.63,22.75,22.46
38.68,40.2,30,3,21.41,21.63,22.75,22.43
38.68,40.2,31,3,21.41,21.65,22.75,22.43
38.68,40.2,32,3,21.38,21.65,22.79,22.43
38.68,40.2,33,3,21.38,21.65,22.79,22.43
38.68,40.2,34,3,21.38,21.63,22.79,22.43
38.68,40.2,35,3,21.45,21.63,22.79,22.43
38.68,40.2,36,3,21.45,21.63,22.79,22.45
38.68,40.2,37,3,21.45,21.65,22.79,22.45
38.68,40.2,38,3,21.38,21.65,22.75,22.45
38.68,40.2,39,3,21.38,21.65,22.75,22.45
38.68,40.2,40,3,21.38,21.58,22.75,22.45
38.68,40.2,41,3,21.54,21.58,22.82,22.45
38.97,40.2,42,3,21.54,21.58,22.82,22.41
39.41,40.2,43,3,21.54,21.52,22.82,22.41
40,40.2,44,3,21.58,21.52,22.82,22.41
40.15,40.2,45,3,21.58,21.52,22.82,22.39
40.29,40.8,46,2,21.58,20.94,22.82,22.39
40.59,40.8,47,2,21.49,20.94,22.67,22.39
40,39.8,48,2,21.49,20.94,22.67,22.39
39.56,39.8,49,2,21.49,20.9,22.67,22.39
41.18,39.8,50,2,21.51,20.9,22.52,22.39
38.82,39.8,51,2,21.51,20.9,22.52,22.38
40.99,39.8,52,2,21.51,21.27,22.52,22.38
39.56,39.8,53,2,21.48,21.27,22.38,22.38
40,39.8,54,2,21.48,21.27,22.38,21.37
40.44,39.2,55,3,21.48,21.27,22.38,21.37
39.85,39.2,56,3,21.44,21.27,22.34,21.37
39.71,39.2,57,3,21.44,21.27,22.34,21.1
39.66,39.2,58,3,21.44,21.21,22.34,21.1
39.56,39.2,59,3,21.51,21.21,22.03,21.1
39.49,39.2,60,3,21.51,21.21,22.03,21.19
39.41,38,61,5,21.51,21.38,22.03,21.19
39.56,38,62,5,21.49,21.38,22.15,21.19
39.52,38,63,5,21.49,21.38,22.15,21.97
39.41,37.4,64,6,21.49,21.41,22.15,21.97
39.41,37.4,65,6,21.54,21.41,21.83,21.97
39.41,37.4,66,6,21.54,21.41,21.83,22.28
39.41,36.8,67,7,21.54,21.44,21.83,22.28
39.41,36.8,68,7,21.54,21.44,21.89,22.28
39.41,36.8,69,7,21.54,21.44,21.89,22.38
39.41,36.2,70,8,21.54,21.45,21.89,22.38
39.41,36.2,71,8,21.56,21.45,21.81,22.38
39.41,36.2,72,8,21.56,21.45,21.81,22.43
39.41,36.2,73,8,21.56,21.07,21.81,22.43
39.41,36.2,74,8,21.65,21.07,21.69,22.43
39.41,36.2,75,8,21.65,21.07,21.69,22.08
39.41,34.9,76,9,21.65,20.86,21.69,22.08
39.41,34.9,77,9,21.62,20.86,21.87,22.08
39.41,34.9,78,9,21.62,20.86,21.87,22.12
39.41,34.9,79,9,21.62,21.07,21.87,22.12
39.56,34.9,80,9,21.64,21.07,21.99,22.12
39.41,34.9,81,9,21.64,21.07,21.99,22.04
39.41,33.6,82,10,21.64,21.2,21.99,22.04
39.55,33.6,83,10,21.74,21.2,21.97,22.04
39.56,33.6,84,10,21.74,21.2,21.97,21.87
39.49,33.6,85,10,21.74,21.28,21.97,21.87
39.42,33.6,86,10,21.66,21.28,21.93,21.87
39.41,33.6,87,10,21.66,21.28,21.93,21.95
39.41,33.6,88,10,21.66,21.27,21.93,21.95
39.12,33.6,89,10,21.71,21.27,21.87,21.95
38.97,33.6,90,10,21.71,21.27,21.87,22.22
38.82,32.3,91,11,21.71,21.27,21.87,22.22
38.82,32.3,92,11,21.65,21.27,21.94,22.22
38.82,32.3,93,11,21.65,21.27,21.94,22.38
38.82,32.3,94,11,21.65,21.28,21.94,22.38
38.7,32.3,95,11,21.64,21.28,22.01,22.38
38.68,32.3,96,11,21.64,21.28,22.01,22.39
38.68,31,97,12,21.64,21.31,22.01,22.39
38.68,31,98,12,21.71,21.31,22.01,22.39
38.68,32,99,12,21.71,21.31,22.01,22.39
38.56,33.3,100,11,21.71,21.27,22.01,22.39
38.57,33.3,101,11,21.66,21.27,22.04,22.39
38.63,33.3,102,11,21.66,21.27,22.04,21.68
38.65,33.3,103,11,21.66,21.31,22.04,21.68
38.53,33.3,104,11,21.66,21.31,21.93,21.68
38.68,33.3,105,11,21.66,21.31,21.93,21.22
38.53,34.6,106,10,21.66,21.31,21.93,21.22
38.6,34.6,107,10,21.69,21.31,22.01,21.22
38.53,34.6,108,10,21.69,21.31,22.01,21.41
38.53,35.9,109,9,21.69,21.3,22.01,21.41
