,0
0,2946.3926
1,480.364
2,789.9862
3,653.0337
4,559.4439
5,1570.3427
6,1097.2953
7,1114.0842
8,340.0323
9,375.3213
10,334.97186
11,676.816
12,270.7456
13,399.0628
14,323.39355
15,191.67218
16,235.83069
17,176.30656
18,153.4175
19,121.001045
20,123.2217
21,129.67249
22,93.8477
23,89.88374
24,97.69867
25,99.726204
26,85.885315
27,63.168736
28,92.588295
29,157.65524
30,63.524014
31,491.83514
32,410.75735
33,456.30997
34,511.7417
35,468.89117
36,52.590538
37,436.29016
38,287.8068
39,388.27148
40,228.11609
41,185.44708
42,323.47235
43,211.78235
44,384.88562
45,468.72275
46,154.41254
47,180.64502
48,339.7296
49,88.64918
50,391.13364
51,86.83044
52,78.345535
53,108.07624
54,80.48874
55,149.50616
56,59.42177
57,145.92953
58,120.06277
59,119.28938
60,37.10326
61,56.788185
62,236.74367
63,122.142334
64,165.79382
65,313.5989
66,152.82614
67,203.73846
68,186.67422
69,222.429
70,165.43129
71,133.31151
72,199.71146
73,148.12231
74,127.906334
75,169.62602
76,143.492
77,115.38836
78,219.13191
79,181.28668
80,35.42257
81,103.21634
82,115.06429
83,94.353485
84,107.993576
85,71.79457
86,81.91212
87,65.8452
88,101.62559
89,96.5192
90,106.49907
91,58.489464
92,117.32883
93,119.318954
94,61.28833
95,50.20682
96,68.11158
97,65.91698
98,83.53644
99,109.62639
100,130.51974
101,18.666191
102,66.66615
103,131.742
104,33.041866
105,137.13823
106,69.501396
107,55.18911
108,61.068855
109,65.1213
110,85.209045
111,128.66696
112,148.58069
113,66.83513
114,35.682354
115,53.807617
116,75.11824
117,108.99452
118,41.65014
119,38.26426
120,87.31122
121,96.076294
122,48.54997
123,74.96199
124,75.31256
125,63.363678
126,75.78695
127,160.90836
128,160.42755
129,67.044235
130,30.67183
131,81.93022
132,45.18819
133,31.18275
134,53.056763
135,51.678787
136,117.356186
137,111.44087
138,36.177475
139,45.153122
140,79.58984
141,153.1594
142,46.417118
143,30.672913
144,66.55899
145,69.13527
146,45.167747
147,118.943665
148,65.95792
149,84.582924
150,63.817616
151,78.796036
152,106.47714
153,77.03064
154,73.68157
155,59.572174
156,75.22423
157,57.191925
158,67.723305
159,107.463776
160,60.462578
161,42.8884
162,26.458658
163,50.31413
164,57.81947
165,98.74048
166,54.03011
167,99.3543
168,46.182976
169,42.807472
170,44.5368
171,69.31822
172,38.35166
173,73.405594
174,108.7818
175,94.98311
176,93.9554
177,70.773895
178,115.369286
179,18.949484
180,76.69962
181,38.504005
182,47.01247
183,30.180075
184,117.34076
185,29.102863
186,72.20234
187,56.036198
188,125.0117
189,52.096333
190,75.36198
191,72.34018
192,36.8254
193,71.43015
194,56.124775
195,103.02672
196,51.185524
197,35.526478
198,44.45592
199,43.81914
200,64.67453
201,29.242939
202,65.559
